Index,Reactant1,Reactant2,Ligand,ee,Temp,catalyst_Anion_Cl,catalyst_Anion_Br,catalyst_Anion_I,catalyst_Anion_acac,catalyst_Anion_NO3,catalyst_Anion_ClO4,catalyst_Anion_OTf,catalyst_Anion_OAc,catalyst_Additive_DME,catalyst_Additive_PPh3,catalyst_Additive_H2O,catalyst_Additive_None,base_Cation_Li,base_Cation_K,base_Cation_Na,base_Anion_OMe,base_Anion_OtBu,base_Anion_OEt,base_Anion_PO4,base_Anion_CO3,base_Anion_OAc,solvent_TPSA,solvent_MolLogP,solvent_MolMR,solvent_MaxPartialCharge,solvent_MinPartialCharge,solvent_NumHDonors,solvent_NumHAcceptors,solvent_MolWt,solvent_HeavyAtomCount,solvent_NumRotatableBonds,solvent_RingCount,solvent_FractionCSP3,solvent_Predicted_ET30
4,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CN(C)[C@H]1[C@@H](CCCC1)N(C)C,-100,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45
22,C#CCCOC(=O)C1=CC=CC=C1,CCCCC(Br)C(=O)OC(C)(C)C,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,92,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
27,C#CCCOC(=O)C1=CC=CC=C1,CC(C)(C)OC(=O)C(Br)CCC1OCCO1,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,90,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
19,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,90,60,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
31,C#CCCOC(=O)C1=CC=CC=C1,CCOP(=O)(OCC)C(Br)CCC1=CC=CC=C1,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
21,C#CCCOC(=O)C1=CC=CC=C1,CCCC(CCC)OC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,95,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
8,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@@H](CN(C)C)C(C)C,82,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45
11,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,90,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
15,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CC([C@@H](CO1)N=C1C2=NC3=C(C=CC=N3)C=C2)C,28,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45
29,C#CCCCN1/C=C\C2=CC=CC(C)=C21,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,88,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
20,C#CCCOC(=O)C1=CC=CC=C1,CCCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,91,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769
7,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@@H](C2=CC=CC=C2)N3CCCCC3,66,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45
